#,Season,Name,Team,ERA,FIP,GB%,WAR,xFIP,WPA,K%,BB%,K-BB%,xERA
162,2008,Homer Bailey,CIN,7.93,6.41,43.50%,-0.3,5.11,-1.36,10.00%,9.40%,0.60%,
163,2008,Phil Dumatrait,PIT,5.74,4.46,42.20%,0.8,4.68,-0.94,15.20%,11.30%,3.90%,
164,2008,Burke Badenhop,FLA,6.75,5.3,55.80%,0.1,4.41,-1.23,15.10%,10.10%,5.00%,
165,2008,Garrett Olson,BAL,6.65,5.13,41.90%,0.9,5.23,-1.86,13.40%,10.00%,3.40%,
166,2008,Chris Volstad,FLA,2.95,3.76,54.10%,1.5,4.44,1.34,14.60%,9.60%,5.10%,
167,2009,Daniel McCutchen,PIT,4.21,5.19,40.50%,0.2,4.78,-0.07,12.30%,7.10%,5.20%,
168,2009,Tommy Hunter,TEX,4.1,4.4,37.70%,1.7,4.72,0.72,13.50%,6.90%,6.50%,
169,2009,Brian Matusz,BAL,4.63,4.08,31.20%,0.9,4.3,-0.05,19.40%,7.10%,12.20%,
170,2009,Brett Cecil,TOR,5.34,5.38,43.00%,0.3,4.6,0.18,16.50%,9.10%,7.40%,
171,2009,Rick Porcello,DET,3.96,4.77,54.20%,1.7,4.27,1.23,12.40%,7.20%,5.10%,
172,2009,David Price,TBR,4.42,4.59,41.50%,1.1,4.43,0.09,18.30%,9.70%,8.60%,
173,2009,Mitchell Boggs,STL,4.1,3.92,51.60%,0.7,4.58,-0.13,15.70%,11.20%,4.50%,
174,2009,Ricky Romero,TOR,4.3,4.33,54.00%,2.4,4.05,0.43,18.30%,10.20%,8.00%,
175,2009,Clayton Richard,2 Tms,4.42,4.52,46.40%,1.4,4.44,0.04,17.70%,11.20%,6.50%,
176,2009,J.D. Martin,WSN,4.44,5.67,36.50%,-0.1,5.37,-0.61,10.90%,7.00%,3.80%,
177,2009,Mat Latos,SDP,4.62,4.72,36.10%,0.3,4.6,-0.09,18.40%,10.80%,7.50%,
178,2009,Josh Outman,OAK,3.58,4.51,37.50%,0.8,4.38,0.34,18.60%,9.30%,9.30%,
179,2009,Brian Duensing,MIN,2.73,3.8,46.30%,0.9,4.36,1.19,15.30%,6.90%,8.30%,
180,2009,Derek Holland,TEX,6.23,5.17,39.80%,0.5,4.31,-1.2,18.20%,7.70%,10.40%,
181,2009,David Huff,CLE,5.61,4.69,37.80%,1.4,5.03,-0.92,11.30%,7.10%,4.20%,
182,2009,David Hernandez,BAL,5.56,6.79,28.40%,-0.6,5.61,-0.96,14.20%,10.20%,4.00%,
183,2009,Scott Richmond,TOR,5.59,5.23,34.10%,0.6,4.43,-1.98,19.20%,9.60%,9.60%,
184,2009,Sean West,FLA,4.79,4.49,40.20%,1,4.86,-0.7,15.00%,9.40%,5.60%,
185,2009,Matt Palmer,LAA,4.66,4.7,44.90%,0.7,4.84,-0.06,13.70%,10.00%,3.70%,
186,2009,Jordan Zimmermann,WSN,4.63,3.59,43.50%,1.9,3.35,-0.96,23.50%,7.40%,16.10%,
187,2009,Randy Wells,CHC,3.05,3.88,47.90%,3.1,4.18,1.92,15.00%,6.60%,8.40%,
188,2009,Josh Geer,SDP,5.62,6.24,42.60%,-1.1,4.55,-1.72,12.90%,5.10%,7.80%,
189,2009,Wade LeBlanc,SDP,3.69,4.97,36.20%,0.2,5.16,0.18,15.50%,9.80%,5.70%,
190,2009,Vin Mazzaro,OAK,5.32,4.93,39.10%,0.6,5.03,-1.64,13.90%,9.20%,4.70%,
191,2009,Chris Tillman,BAL,5.4,6.1,37.00%,-0.2,5.1,-0.56,13.70%,8.40%,5.30%,
192,2009,Jason Berken,BAL,6.54,5.31,39.00%,0.5,5.02,-2.32,11.80%,7.90%,3.90%,
193,2009,Trevor Cahill,OAK,4.63,5.33,47.80%,0.4,4.86,-0.76,11.60%,9.30%,2.30%,
194,2009,Marc Rzepczynski,TOR,3.67,4.14,51.20%,0.9,3.66,0.07,23.00%,11.50%,11.50%,
195,2009,Shairon Martis,WSN,5.25,5.48,40.40%,0.2,5.79,-1.26,9.00%,10.30%,-1.30%,
196,2009,Craig Stammen,WSN,5.11,4.68,47.10%,0.8,4.42,-1.85,10.70%,5.40%,5.40%,
197,2009,Garrett Mock,WSN,5.4,4.28,49.00%,1,4.2,-1.78,18.40%,10.00%,8.40%,
198,2009,J.A. Happ,PHI,2.99,4.46,39.00%,1.5,4.4,1.62,17.10%,7.90%,9.20%,
199,2009,Wade Davis,TBR,3.72,2.9,39.00%,1,3.49,0.61,24.00%,8.70%,15.30%,
200,2009,Gio González,OAK,5.56,4.51,46.00%,1,3.8,-0.97,24.60%,11.50%,13.00%,
201,2009,Anthony Swarzak,MIN,6.25,5.71,36.00%,-0.2,5.15,-1.03,12.70%,7.50%,5.20%,
202,2009,Luke French,2 Tms,5.29,5.24,28.50%,0.5,5.49,-0.91,13.00%,8.50%,4.40%,
203,2009,Chris Jakubauskas,SEA,6.64,4.94,44.70%,0.4,5.51,-0.78,8.80%,7.70%,1.10%,
204,2009,Brett Anderson,OAK,4.06,3.69,50.90%,3.7,3.56,-0.01,20.40%,6.10%,14.30%,
205,2009,Brad Bergesen,BAL,3.43,4.1,50.10%,2,4.36,1.2,12.50%,6.20%,6.40%,
206,2009,Jeff Niemann,TBR,3.85,4.08,40.70%,2.8,4.44,1.57,16.50%,7.80%,8.60%,
207,2009,Tommy Hanson,ATL,2.89,3.5,40.20%,2.4,3.97,2.3,22.20%,8.80%,13.40%,
208,2009,Sean O'Sullivan,LAA,6.29,6.1,36.30%,-0.3,4.89,-1.04,13.40%,6.90%,6.50%,
